"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"3043",0.34,0.59,0.560649841089921,1.70204939065846,32.9315173807562,35.4768607546066,36.6387980637783,0.721760985463375,TRUE,1.70204939065846,FALSE,-2.50931367241945,-1.74631787670085
"3044",0.31,0.39,0.95270543542122,1.34471330438616,34.5706835707174,36.3900070810854,37.2900197404488,0.95270543542122,FALSE,1.34471330438616,FALSE,1.94588772221338e-05,5.2937647548225e-05
"3045",0.38,0.57,0.68303695883502,1.54014737823469,32.9996514772886,35.5196055101409,36.6781645797641,0.720042921242948,TRUE,1.54014737823469,FALSE,-2.39185075531489,-1.64074931680329
"3046",0.3,0.46,0.801284818686626,1.56456838569999,34.3493971949177,36.3899845344597,37.2899851706134,0.801284818686626,FALSE,1.56456838569999,FALSE,-4.24994236865502e-05,-3.97677301857254e-05
"3047",0.33,0.5,0.764442131489136,1.5513144180719,34.3023602681569,36.3899874093777,37.2899894155175,0.764442131489136,FALSE,1.5513144180719,FALSE,-3.45991268538327e-05,-2.8384238333293e-05
"3048",0.34,0.36,1.05543985959588,1.15313994015888,34.6368514395488,36.3900000036044,37.2900146887334,1.05543985959588,FALSE,1.15313994015888,FALSE,9.90479781488196e-09,3.93905427378579e-05
"3049",0.4,0.56,0.745014004443567,1.46348863213807,34.3287222684043,36.3899808286863,37.2899808504274,0.745014004443567,FALSE,1.46348863213807,FALSE,-5.26829175478567e-05,-5.13531043022295e-05
"3050",0.39,0.58,0.674959207125672,1.53060988524425,33.0183763276081,35.5329942952612,36.6863911539008,0.719596080878239,TRUE,1.53060988524425,FALSE,-2.35505827078525,-1.6186882437628
"3051",0.41,0.5,0.905725659806078,1.31013163447432,34.5534763238202,36.3900092392567,37.2900206016762,0.905725659806078,FALSE,1.31013163447432,FALSE,2.53895483807267e-05,5.52471874630997e-05
"3052",0.22,0.36,0.869824209970143,1.63682668600095,34.4159360436004,36.3899811273406,37.2899808161922,0.869824209970143,FALSE,1.63682668600095,FALSE,-5.18622131567194e-05,-5.14449122543703e-05
"3053",0.34,0.59,0.560649841089921,1.70204939065846,32.9315173807562,35.4768607546066,36.6387980637783,0.721760985463375,TRUE,1.70204939065846,FALSE,-2.50931367241945,-1.74631787670085
"3054",0.31,0.42,0.896671153613566,1.42705549566808,34.5080117914967,36.3900206377152,37.290025673412,0.896671153613566,FALSE,1.42705549566808,FALSE,5.671260021095e-05,6.88479805700869e-05
"3055",0.32,0.45,0.853881124843789,1.46843791030405,34.4535736968073,36.3900300727413,37.2899703477428,0.853881124843789,FALSE,1.46843791030405,FALSE,8.26401245331424e-05,-7.95179864697413e-05
"3056",0.34,0.42,0.946062000914492,1.32441847330028,34.5718507164851,36.3900063728018,37.2900194942714,0.946062000914492,FALSE,1.32441847330028,FALSE,1.75125083400618e-05,5.22774777193475e-05
"3057",0.31,0.69,0.200609146878816,1.97865203601685,32.8818920657993,35.4514455546666,36.6053105800834,0.722982523319128,TRUE,1.97865203601685,FALSE,-2.57915483740975,-1.83612072919454
"3058",0.41,0.51,0.88327820723106,1.33213455369229,34.5316528468376,36.3900134437049,37.2900223329709,0.88327820723106,FALSE,1.33213455369229,FALSE,3.69434045298469e-05,5.98899729725614e-05
"3059",0.26,0.56,0.511991192241262,1.94213631668524,32.7952289486157,35.3749963387426,36.572340967467,0.724904990716954,TRUE,1.94213631668524,FALSE,-2.7892378710015,-1.92453481505241
"3060",0.38,0.6,0.602680668190993,1.59713992755418,33.0029741940563,35.5256068185151,36.6741601860464,0.720042921242948,TRUE,1.59713992755418,FALSE,-2.37535911372612,-1.65148783575648
"3061",0.37,0.54,0.740193558222899,1.50970407358123,34.2908843708828,36.3899860114884,37.2899873624382,0.740193558222899,FALSE,1.50970407358123,FALSE,-3.84405374046048e-05,-3.38899484036789e-05
"3062",0.38,0.51,0.828170494853981,1.41656333922331,34.4506323497859,36.3900279629219,37.2900300433876,0.828170494853981,FALSE,1.41656333922331,FALSE,7.68423245341986e-05,8.05668748318604e-05
"3063",0.28,0.47,0.749214807599017,1.66512291537545,34.2162903849727,36.3899966042897,37.2899995435998,0.749214807599017,FALSE,1.66512291537545,FALSE,-9.3314379386185e-06,-1.22392102829054e-06
"3064",0.37,0.54,0.740193558222899,1.50970407358123,34.2908843708828,36.3899860114884,37.2899873624382,0.740193558222899,FALSE,1.50970407358123,FALSE,-3.84405374046048e-05,-3.38899484036789e-05
"3065",0.33,0.62,0.459512302931623,1.79032706209074,32.9153692004618,35.4690481934063,36.6272366085399,0.72217422749043,TRUE,1.79032706209074,FALSE,-2.53078265071091,-1.77732204735891
"3066",0.25,0.47,0.703857035909849,1.79104367682767,32.7771978029765,35.3529805811302,36.5691800039145,0.725273856348505,TRUE,1.79104367682767,FALSE,-2.84973734231884,-1.93301152074421
"3067",0.32,0.56,0.605943845605771,1.71142591137608,32.8953968268459,35.4484439424385,36.6238649260593,0.722581347187741,TRUE,1.71142591137608,FALSE,-2.58740329090814,-1.78636383464922
"3068",0.39,0.49,0.89068811206007,1.34325131587114,34.5322986189605,36.3900137472039,37.2900224517538,0.89068811206007,FALSE,1.34325131587114,FALSE,3.77774222151477e-05,6.02085110340177e-05
"3069",0.32,0.43,0.89356788329055,1.41792416132987,34.5083826050496,36.390020233551,37.2900254736959,0.89356788329055,FALSE,1.41792416132987,FALSE,5.56019538090745e-05,6.83124052387962e-05
"3070",0.38,0.53,0.781867498853354,1.45930365125421,34.3781343044052,36.3899766050985,37.2899765358263,0.781867498853354,FALSE,1.45930365125421,FALSE,-6.42893693628838e-05,-6.2923501420218e-05
"3071",0.32,0.67,0.286297098437128,1.91069360988255,32.8991583185909,35.4624056897813,36.6148298855082,0.722581347187741,TRUE,1.91069360988255,FALSE,-2.54903630178271,-1.81059295921635
"3072",0.25,0.58,0.445387818944557,2.02470524220141,32.7792402702914,35.3639935803746,36.5630484989271,0.725273856348505,TRUE,2.02470524220141,FALSE,-2.81947353565649,-1.94945428016325
"3073",0.35,0.41,0.982019673681258,1.2654350416866,34.6023131427738,36.3900000027812,37.2900170867809,0.982019673681258,FALSE,1.2654350416866,FALSE,7.64269841880394e-09,4.58213486200037e-05
"3074",0.35,0.59,0.577613699013016,1.66984101635484,32.9490336504807,35.4887336121323,36.6477753506724,0.721341434154477,TRUE,1.66984101635484,FALSE,-2.47668696858397,-1.72224362919699
"3075",0.42,0.4,1.12729898219858,1.03541929792624,34.6369760522531,36.390000003613,37.2900146687114,1.12729898219858,FALSE,1.03541929792624,FALSE,9.92867783043114e-09,3.93368501158637e-05
